Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-02,BRO,-0.0165,-0.0087,-0.0,-0.0174
2025-12-03,BRO,-0.0024,-0.0087,-0.0,-0.0174
2025-12-04,BRO,-0.0001,-0.0087,-0.0,-0.0174
2025-12-05,BRO,-0.0159,-0.0087,-0.0,-0.0174
2025-12-02,BSX,-0.0197,-0.0087,-0.0009,-0.0165
2025-12-03,BSX,-0.0045,-0.0087,-0.0009,-0.0165
2025-12-04,BSX,-0.0086,-0.0087,-0.0009,-0.0165
2025-12-05,BSX,-0.002,-0.0087,-0.0009,-0.0165
2025-12-02,BTC=F,0.0578,0.0083,0.047,-0.0305
2025-12-03,BTC=F,0.0173,0.0083,0.047,-0.0305
2025-12-04,BTC=F,-0.0097,0.0083,0.047,-0.0305
2025-12-05,BTC=F,-0.0324,0.0083,0.047,-0.0305
2025-12-02,BTI,-0.0034,-0.0048,0.0063,-0.0159
2025-12-03,BTI,-0.0073,-0.0048,0.0063,-0.0159
2025-12-04,BTI,0.0092,-0.0048,0.0063,-0.0159
2025-12-05,BTI,-0.0177,-0.0048,0.0063,-0.0159
2025-12-02,BTU,0.031,0.0211,0.0574,-0.0153
2025-12-03,BTU,0.0671,0.0211,0.0574,-0.0153
2025-12-04,BTU,0.0027,0.0211,0.0574,-0.0153
2025-12-05,BTU,-0.0166,0.0211,0.0574,-0.0153
2025-12-02,BX,0.0027,0.0099,0.0252,-0.0055
2025-12-03,BX,0.0326,0.0099,0.0252,-0.0055
2025-12-04,BX,-0.0009,0.0099,0.0252,-0.0055
2025-12-05,BX,0.005,0.0099,0.0252,-0.0055
2025-12-02,BXP,-0.0031,-0.0095,-0.0032,-0.0157
2025-12-03,BXP,-0.0084,-0.0095,-0.0032,-0.0157
2025-12-04,BXP,-0.0083,-0.0095,-0.0032,-0.0157
2025-12-05,BXP,-0.0181,-0.0095,-0.0032,-0.0157
2025-12-02,C,0.005,0.0148,0.028,0.0017
2025-12-03,C,0.0342,0.0148,0.028,0.0017
2025-12-04,C,0.01,0.0148,0.028,0.0017
2025-12-05,C,0.0101,0.0148,0.028,0.0017
2025-12-02,CAG,-0.0255,-0.0088,0.0045,-0.0222
2025-12-03,CAG,-0.0035,-0.0088,0.0045,-0.0222
2025-12-04,CAG,-0.0122,-0.0088,0.0045,-0.0222
2025-12-05,CAG,0.0059,-0.0088,0.0045,-0.0222
2025-12-02,CAH,-0.0138,-0.0112,0.0004,-0.0227
2025-12-03,CAH,-0.0264,-0.0112,0.0004,-0.0227
2025-12-04,CAH,-0.0026,-0.0112,0.0004,-0.0227
2025-12-05,CAH,-0.0018,-0.0112,0.0004,-0.0227
2025-12-02,CALM,-0.0254,0.0034,0.0277,-0.0209
2025-12-03,CALM,0.0142,0.0034,0.0277,-0.0209
2025-12-04,CALM,0.0307,0.0034,0.0277,-0.0209
2025-12-05,CALM,-0.0059,0.0034,0.0277,-0.0209
2025-12-02,CANE,0.0116,0.0017,0.0085,-0.0052
2025-12-03,CANE,-0.0021,0.0017,0.0085,-0.0052
2025-12-04,CANE,0.0005,0.0017,0.0085,-0.0052
2025-12-05,CANE,-0.0034,0.0017,0.0085,-0.0052
2025-12-02,CARR,-0.0079,0.0002,0.0103,-0.0098
2025-12-03,CARR,0.0149,0.0002,0.0103,-0.0098
2025-12-04,CARR,-0.0022,0.0002,0.0103,-0.0098
2025-12-05,CARR,-0.0039,0.0002,0.0103,-0.0098
2025-12-02,CAT,0.0254,0.0151,0.0229,0.0074
2025-12-03,CAT,0.0155,0.0151,0.0229,0.0074
2025-12-04,CAT,0.013,0.0151,0.0229,0.0074
2025-12-05,CAT,0.0067,0.0151,0.0229,0.0074
2025-12-02,CB,0.0021,0.0009,0.0026,-0.0007
2025-12-03,CB,0.0019,0.0009,0.0026,-0.0007
2025-12-04,CB,-0.0014,0.0009,0.0026,-0.0007
2025-12-05,CB,0.0012,0.0009,0.0026,-0.0007
2025-12-02,CBOE,-0.0036,-0.0025,0.0027,-0.0076
2025-12-03,CBOE,-0.0018,-0.0025,0.0027,-0.0076
2025-12-04,CBOE,0.004,-0.0025,0.0027,-0.0076
2025-12-05,CBOE,-0.0085,-0.0025,0.0027,-0.0076
2025-12-02,CBRE,-0.0001,0.0024,0.0133,-0.0085
2025-12-03,CBRE,0.0185,0.0024,0.0133,-0.0085
2025-12-04,CBRE,-0.005,0.0024,0.0133,-0.0085
2025-12-05,CBRE,-0.0038,0.0024,0.0133,-0.0085
2025-12-02,CCI,-0.0025,0.0022,0.0065,-0.002
2025-12-03,CCI,0.0006,0.0022,0.0065,-0.002
2025-12-04,CCI,0.0032,0.0022,0.0065,-0.002
2025-12-05,CCI,0.0076,0.0022,0.0065,-0.002
2025-12-02,CCJ,0.008,0.0109,0.0444,-0.0226
2025-12-03,CCJ,0.0138,0.0109,0.0444,-0.0226
2025-12-04,CCJ,0.0519,0.0109,0.0444,-0.0226
2025-12-05,CCJ,-0.03,0.0109,0.0444,-0.0226
2025-12-02,CCL,-0.0035,-0.0006,0.0064,-0.0075
2025-12-03,CCL,0.0077,-0.0006,0.0064,-0.0075
2025-12-04,CCL,-0.0084,-0.0006,0.0064,-0.0075
2025-12-05,CCL,0.0019,-0.0006,0.0064,-0.0075
2025-12-02,CDNS,0.0269,0.0221,0.0482,-0.0041
2025-12-03,CDNS,0.0571,0.0221,0.0482,-0.0041
2025-12-04,CDNS,0.0035,0.0221,0.0482,-0.0041
2025-12-05,CDNS,0.0007,0.0221,0.0482,-0.0041
2025-12-02,CDW,0.0079,0.0056,0.012,-0.0008
2025-12-03,CDW,-0.0033,0.0056,0.012,-0.0008
2025-12-04,CDW,0.006,0.0056,0.012,-0.0008
2025-12-05,CDW,0.0118,0.0056,0.012,-0.0008
2025-12-02,CEG,0.0129,0.0007,0.0207,-0.0193
2025-12-03,CEG,-0.0066,0.0007,0.0207,-0.0193
2025-12-04,CEG,0.0204,0.0007,0.0207,-0.0193
2025-12-05,CEG,-0.0239,0.0007,0.0207,-0.0193
2025-12-02,CF,-0.0104,-0.0059,0.0122,-0.024
2025-12-03,CF,0.0041,-0.0059,0.0122,-0.024
2025-12-04,CF,0.0119,-0.0059,0.0122,-0.024
2025-12-05,CF,-0.0293,-0.0059,0.0122,-0.024
2025-12-02,CFG,0.0015,0.0041,0.0149,-0.0068
2025-12-03,CFG,0.0187,0.0041,0.0149,-0.0068
2025-12-04,CFG,0.0036,0.0041,0.0149,-0.0068
2025-12-05,CFG,-0.0075,0.0041,0.0149,-0.0068
2025-12-02,CHD,-0.0123,-0.0002,0.0084,-0.0087
2025-12-03,CHD,0.0044,-0.0002,0.0084,-0.0087
2025-12-04,CHD,0.0005,-0.0002,0.0084,-0.0087
2025-12-05,CHD,0.0068,-0.0002,0.0084,-0.0087
2025-12-02,CHRW,-0.0043,-0.0049,-0.0013,-0.0085
2025-12-03,CHRW,-0.0006,-0.0049,-0.0013,-0.0085
2025-12-04,CHRW,-0.0093,-0.0049,-0.0013,-0.0085
2025-12-05,CHRW,-0.0053,-0.0049,-0.0013,-0.0085
2025-12-02,CHTR,0.004,0.0103,0.0215,-0.001
2025-12-03,CHTR,0.0113,0.0103,0.0215,-0.001
2025-12-04,CHTR,0.0001,0.0103,0.0215,-0.001
2025-12-05,CHTR,0.0256,0.0103,0.0215,-0.001
2025-12-02,CI,0.0019,-0.0075,-0.0006,-0.0144
2025-12-03,CI,-0.0138,-0.0075,-0.0006,-0.0144
2025-12-04,CI,-0.007,-0.0075,-0.0006,-0.0144
2025-12-05,CI,-0.0111,-0.0075,-0.0006,-0.0144
