Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-11-01,MO,3.1,5.5,7.8,3.1
2025-12-01,MO,2.4,5.5,7.8,3.1
2026-01-01,MO,9.5,5.5,7.8,3.1
2026-02-01,MO,4.7,5.5,7.8,3.1
2024-11-01,MOH,60.6,48.8,81.5,16.2
2024-12-01,MOH,30.0,48.8,81.5,16.2
2025-01-01,MOH,43.5,48.8,81.5,16.2
2025-02-01,MOH,65.1,48.8,81.5,16.2
2025-03-01,MOH,38.5,48.8,81.5,16.2
2025-04-01,MOH,60.3,48.8,81.5,16.2
2025-05-01,MOH,41.8,48.8,81.5,16.2
2025-06-01,MOH,17.3,48.8,81.5,16.2
2025-07-01,MOH,156.0,48.8,81.5,16.2
2025-08-01,MOH,29.2,48.8,81.5,16.2
2025-09-01,MOH,31.3,48.8,81.5,16.2
2025-10-01,MOH,59.1,48.8,81.5,16.2
2025-11-01,MOH,20.1,48.8,81.5,16.2
2025-12-01,MOH,34.4,48.8,81.5,16.2
2026-01-01,MOH,31.8,48.8,81.5,16.2
2026-02-01,MOH,61.7,48.8,81.5,16.2
2024-11-01,MOS,4.0,5.3,6.9,3.7
2024-12-01,MOS,4.3,5.3,6.9,3.7
2025-01-01,MOS,4.9,5.3,6.9,3.7
2025-02-01,MOS,5.6,5.3,6.9,3.7
2025-03-01,MOS,6.2,5.3,6.9,3.7
2025-04-01,MOS,8.2,5.3,6.9,3.7
2025-05-01,MOS,6.9,5.3,6.9,3.7
2025-06-01,MOS,4.2,5.3,6.9,3.7
2025-07-01,MOS,3.5,5.3,6.9,3.7
2025-08-01,MOS,5.9,5.3,6.9,3.7
2025-09-01,MOS,4.9,5.3,6.9,3.7
2025-10-01,MOS,8.7,5.3,6.9,3.7
2025-11-01,MOS,4.5,5.3,6.9,3.7
2025-12-01,MOS,3.0,5.3,6.9,3.7
2026-01-01,MOS,5.1,5.3,6.9,3.7
2026-02-01,MOS,3.5,5.3,6.9,3.7
2024-11-01,MP,4.1,15.8,26.6,5.0
2024-12-01,MP,8.5,15.8,26.6,5.0
2025-01-01,MP,6.5,15.8,26.6,5.0
2025-02-01,MP,4.2,15.8,26.6,5.0
2025-03-01,MP,6.1,15.8,26.6,5.0
2025-04-01,MP,8.6,15.8,26.6,5.0
2025-05-01,MP,7.1,15.8,26.6,5.0
2025-06-01,MP,19.0,15.8,26.6,5.0
2025-07-01,MP,36.3,15.8,26.6,5.0
2025-08-01,MP,23.3,15.8,26.6,5.0
2025-09-01,MP,20.8,15.8,26.6,5.0
2025-10-01,MP,38.8,15.8,26.6,5.0
2025-11-01,MP,15.7,15.8,26.6,5.0
2025-12-01,MP,14.1,15.8,26.6,5.0
